Dpt/Maille/Point/Haie;Dept;Maille;Point;PE;agricole;bati;foret;length;Observateur;Date;:eure;assise;classification;ornementale;ripisylve;intervention;taille;continuite;longueur;hauteur;largeur;bande;cloture;fosse;vieux;tetards;emondes;cavite;morts;plessee;nids;composition1;composition2;composition3;exotiques;lianes;occsol1;occsol2;Commentaire(s) e?ventuel(s) ;Accenteur mouchet;Alouette lulu;Bergeronnette des ruisseaux;Bergeronnette grise;Bergeronnette printanière;Bouvreuil pivoine;Bruant des roseaux;Bruant jaune;Bruant proyer;Bruant zizi;Busard cendré;Buse variable;Chardonneret élégant;Choucas des tours;Coucou gris;Effraie des clochers;Épervier d'Europe;Faucon crécerelle;Faucon hobereau;Fauvette à tête noire;Fauvette babillarde;Fauvette des jardins;Fauvette grisette;Fauvette indéterminée;Gobemouche gris;Gobemouche noir;Grimpereau des bois;Grimpereau des jardins;Grosbec casse-noyaux;Guêpier d'Europe;Héron cendré;Hirondelle de fenêtre;Hirondelle de rivage;Hirondelle rustique;Hypolaïs polyglotte;Linotte mélodieuse;Locustelle tachetée;Loriot d'Europe;Martin-pêcheur d'Europe;Mésange à longue queue;Mésange bleue;Mésange charbonnière;Mésange indéterminée;Mésange noire;Mésange nonnette;Milan noir;Moineau domestique;Moineau friquet;Phragmite des joncs;Pic épeiche;Pic épeichette;Pic mar;Pic vert;Pie-grièche écorcheur;Pinson des arbres;Pipit des arbres;Pipit farlouse;Pouillot fitis;Pouillot indéterminé;Pouillot véloce;Roitelet à triple bandeau;Rossignol philomèle;Rougegorge familier;Rougequeue à front blanc;Rougequeue noir;Rousserolle effarvatte;Rousserolle verderolle;Serin cini;Sittelle torchepot;Tarier pâtre;Tarin des aulnes;Torcol fourmilier;Tourterelle des bois;Tourterelle turque;Traquet motteux;Troglodyte mignon;Verdier d'Europe
10/M16/4/H;10;M16;4;10/M16/4;38,87520207;0,129006429;1,145055185;3844,406327;Pierre MIGUET;06/05/2021;0,313888889;haie a plat ;F : Haie multistrate (buissons, arbustes, arbres);non;non;pas d’entretien re?cent ;non;haie avec quelques troue?es ;1;4;3;oui <1 m;non;oui;non;non;non;non;non;non;non;prunellier;saule blanc;cornouiller sanguin;non;non;prairie ;prairie ;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
10/M16/5/H;10;M16;5;10/M16/5;25,11304974;0;15,47663557;1519,238219;Pierre MIGUET;06/05/2021;0,365972222;haie a plat ;F : Haie multistrate (buissons, arbustes, arbres);non;non;pas d’entretien re?cent ;non;haie continue;2;4;3;oui <1 m;non;non;non;non;non;non;non;non;non;cornouiller sanguin;frêne commun;prunellier;non;non;prairie ;culture;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/M16/7/H1;10;M16;7;10/M16/7;37,46320352;24,9152933;11,73994984;3988,522373;Pierre MIGUET;06/05/2021;0,401388889;haie a plat ;E1 : Haie arbustive sans arbres;non;non;taille en fac?ade sur un co?te? ;non;haie avec quelques troue?es ;2;3;1;oui <1 m;sur 1 co?te? ;non;non;non;non;non;non;non;non;aubépine monogyne;prunellier;cornouiller sanguin;non;non;prairie ;prairie ;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/M16/7/H2;10;M16;7;10/M16/7;37,46320352;24,9152933;11,73994984;3988,522373;Pierre MIGUET;06/05/2021;0,401388889;haie a plat ;E1 : Haie arbustive sans arbres;non;non;taille en sommet et façade;non;haie continue;1;2;1;non;non;non;non;non;non;non;non;non;non;aubépine monogyne;prunellier;cornouiller sanguin;non;non;culture;prairie ;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
10/M17/5/H1;10;M17;5;10/M17/5;87,23347509;10,40521885;0;7661,658472;Charlotte EPLE;09/04/2021;8h20;haie a plat ;F : Haie multistrate (buissons, arbustes, arbres);non;oui;pas d’entretien re?cent ;non;haie continue;3;4;3;oui >1 m;non;oui;non;non;non;non;non;non;non;frêne;troene;erable champêtre;non;non;prairie ;prairie ;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0
10/M17/5/H2;10;M17;5;10/M17/5;87,23347509;10,40521885;0;7661,658472;Charlotte EPLE;09/04/2021;8h20;haie a plat ;D1 : Haie buissonnante sans arbres;non;non;taille en fac?ade des 2 co?te?s ;oui;haie avec quelques troue?es ;3;2;2;oui >1 m;non;non;non;non;non;non;non;non;non;aubépine;prunellier;cornouiller;non;non;prairie ;prairie ;;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/M17/7/H1;10;M17;7;10/M17/7;62,04374267;0,122658016;9,50503478;6408,470521;Charlotte EPLE;09/04/2021;8h;haie a plat ;F : Haie multistrate (buissons, arbustes, arbres);non;non;pas d’entretien re?cent ;non;haie continue;3;4;3;oui >1 m;non;non;non;non;non;non;non;non;non;frêne;cornouiller;aubépine;non;non;prairie ;prairie ;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0
10/M17/7/H2;10;M17;7;10/M17/7;62,04374267;0,122658016;9,50503478;6408,470521;Charlotte EPLE;09/04/2021;8h;haie a plat ;F : Haie multistrate (buissons, arbustes, arbres);non;non;pas d’entretien re?cent ;non;haie continue;3;4;3;oui >1 m;non;non;non;non;non;non;non;non;non;erable champêtre;aubépine;prunellier;non;non;prairie ;prairie ;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/M17/9/H;10;M17;9;10/M17/9;78,17035828;0,180679771;6,898013885;2934,702768;Charlotte EPLE;09/04/2021;;haie a plat ;F : Haie multistrate (buissons, arbustes, arbres);non;non;pas d’entretien re?cent ;non;haie continue;3;4;3;oui >1 m;non;non;non;non;non;non;non;non;non;chêne;erable champêtre;aubépine;non;non;prairie ;culture;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/M18/2/H;10;M18;2;10/M18/2;63,45704675;0;32,69897966;1416,498012;Charlotte EPLE;02/04/2021;11H14;haie a plat ;E2 : Haie arbustive avec arbres;non;oui;pas d’entretien re?cent ;non;haie continue;3;4;3;oui >1 m;non;non;non;non;non;non;non;non;non;prunellier;aubépine;;non;non;rivière;chemin;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0
10/M18/6/H;10;M18;6;10/M18/6;79,52030787;0;0;2712,165737;Charlotte EPLE;02/04/2021;10H57;haie a plat ;F : Haie multistrate (buissons, arbustes, arbres);non;non;pas d’entretien re?cent ;non;haie avec quelques troue?es ;2;4;3;oui >1 m;non;non;non;non;non;non;non;non;non;prunellier;aubépine;eglantier;non;non;prairie ;prairie ;;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/M18/8/H;10;M18;8;10/M18/8;59,41049459;0;7,581698434;6330,732672;Charlotte EPLE;02/04/2021;10H40;haie a plat ;F : Haie multistrate (buissons, arbustes, arbres);non;oui;pas d’entretien re?cent ;non;haie avec quelques troue?es ;3;4;2;non;non;non;non;non;non;non;non;non;non;aubépine;prunellier;;non;non;rivière;culture;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
10/M18/9/H1;10;M18;9;10/M18/9;28,95296347;9,191984598;19,05340071;6100,237561;Charlotte EPLE;02/04/2021;10H27;haie a plat ;D2 : Haie buissonnante avec arbres;non;non;taille en sommet et façade;oui;haie avec quelques troue?es ;3;2;1;oui <1 m;non;non;non;non;non;non;non;oui;non;aubépine;prunellier;;non;non;chemin;prairie ;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/M18/9/H2;10;M18;9;10/M18/9;28,95296347;9,191984598;19,05340071;6100,237561;Charlotte EPLE;02/04/2021;10H27;haie a plat ;D2 : Haie buissonnante avec arbres;non;non;pas d’entretien re?cent ;non;haie avec quelques troue?es ;2;4;3;oui >1 m;non;non;non;non;non;non;non;non;non;aubépine;prunellier;;non;non;culture;culture;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/M2/2/H;10;M2;2;10/M2/2;72,85083807;0;9,770172487;946,4165879;Charlotte EPLE;07/04/2021;10H15;haie a plat ;D2 : Haie buissonnante avec arbres;non;non;taille en fac?ade sur un co?te? ;oui;haie continue;2;3;2;oui <1 m;non;non;non;non;non;non;non;non;non;cornouiller;aubépine;prunellier;non;non;chemin;culture;;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
10/M21/4/H;10;M21;4;10/M21/4;40,7437506;9,034660457;0;2163,641484;Charlotte EPLE;08/04/2021;8H20;haie a plat ;F : Haie multistrate (buissons, arbustes, arbres);non;non;pas d’entretien re?cent ;non;haie continue;2;4;3;oui <1 m;non;non;non;non;non;non;non;non;non;frêne;cornouiller;eglantier;non;non;culture;culture;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
10/M22/6/H;10;M22;6;10/M22/6;62,71056859;32,97739816;4,51091847;752,9263695;Charlotte EPLE;03/04/2021;10h50;talus;D1 : Haie buissonnante sans arbres;non;non;taille en fac?ade sur un co?te? ;non;haie avec quelques troue?es ;1;3;2;oui <1 m;non;non;non;non;non;non;non;non;non;prunellier;cornouiller;aubépine;non;non;chemin;prairie ;;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0
10/M24/2/H;10;M24;2;10/M24/2;88,06138703;0;0;1078,98492;Charlotte EPLE;07/04/2021;7H45;haie a plat ;D2 : Haie buissonnante avec arbres;non;non;taille en fac?ade des 2 co?te?s ;oui;haie continue;1;4;2;oui <1 m;non;non;non;non;non;non;non;non;non;cornouiller;aubépine;troène;non;non;chemin;culture;;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/M26/8/H1;10;M26;8;10/M26/8;96,19734233;0;0;739,9218814;Charlotte EPLE;03/04/2021;9H50;haie a plat ;F : Haie multistrate (buissons, arbustes, arbres);non;non;taille en fac?ade des 2 co?te?s ;oui;haie avec quelques troue?es ;3;4;3;oui <1 m;non;non;non;non;non;non;non;non;non;cornouiller;aubépine;erable champêtre;non;non;chemin;culture;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/M26/8/H2;10;M26;8;10/M26/8;96,19734233;0;0;739,9218814;Charlotte EPLE;03/04/2021;9H50;haie a plat ;D1 : Haie buissonnante sans arbres;non;non;taille en fac?ade des 2 co?te?s ;oui;haie avec quelques troue?es ;1;3;2;non;non;non;non;non;non;non;non;non;non;prunellier;aubépine;troène;non;non;culture;culture;;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/M28/6/H;10;M28;6;10/M28/6;13,76619717;0;0,004379464;1553,210015;Charlotte EPLE;09/04/2021;;talus;F : Haie multistrate (buissons, arbustes, arbres);non;non;taille en fac?ade des 2 co?te?s ;non;haie avec quelques troue?es ;3;4;3;oui <1 m;non;non;non;non;non;non;non;non;non;prunellier;cornouiller;;non;non;culture;culture;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/M29/4/H;10;M29;4;10/M29/4;97,56110562;0;0;215,8366911;Charlotte EPLE;03/04/2021;8H37;talus;D2 : Haie buissonnante avec arbres;non;non;pas d’entretien re?cent ;non;plus de troue?es que de haie;3;4;2;oui <1 m;non;non;non;non;non;non;non;non;non;cornouiller;aubépine;prunellier;non;non;culture;culture;;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/M32/1/H;10;M32;1;10/M32/1;57,24204773;0,175622523;24,73630701;2168,318317;Charlotte EPLE;13/04/2021;9H;haie a plat ;D2 : Haie buissonnante avec arbres;non;non;pas d’entretien re?cent ;non;haie continue;3;4;3;non;non;non;non;non;non;non;non;non;non;aubépine;cornouiller;;non;non;culture;culture;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
10/M32/4/H;10;M32;4;10/M32/4;41,55272722;0;46,5545381;1401,309282;Charlotte EPLE;13/04/2021;8H30;haie a plat ;D2 : Haie buissonnante avec arbres;non;non;pas d’entretien re?cent ;non;haie continue;2;3;3;oui >1 m;non;non;non;non;non;non;non;non;non;aubépine;cornouiller;troène;non;non;prairie ;prairie ;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
10/M34/5/H1;10;M34;5;10/M34/5;57,93936502;13,51463162;5,988963807;3976,785961;Charlotte EPLE;08/04/2021;7H20;haie a plat ;D2 : Haie buissonnante avec arbres;non;non;taille en fac?ade des 2 co?te?s ;non;haie continue;3;4;3;oui >1 m;non;non;non;non;non;non;non;non;non;aubépine;prunellier;troène;non;non;route;culture;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/M34/5/H2;10;M34;5;10/M34/5;57,93936502;13,51463162;5,988963807;3976,785961;Charlotte EPLE;08/04/2021;7H20;haie a plat ;D2 : Haie buissonnante avec arbres;non;non;taille en fac?ade des 2 co?te?s ;non;haie continue;3;4;2;oui <1 m;non;non;non;non;non;non;non;non;non;erable champêtre;prunellier;aubépine;non;non;prairie ;prairie ;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
